request_index,url,status_code,success,error_message,api_request_response_ms,backend_latency_ms,timingMs.total_backend,timingMs.feature_extraction,timingMs.brand_analysis,timingMs.histgb_inference,timingMs.url_transformer_inference,timingMs.decision_fusion
1,https://ktun.edu.tr,200,True,,67.5822,63.0000,62.7414,7.7231,0.1114,44.6985,2.8441,0.0642
2,https://obs.ktun.edu.tr,200,True,,61.4178,57.0000,56.5262,7.6798,0.1001,36.7696,4.4314,0.0716
3,https://turkiye.gov.tr,200,True,,56.3235,52.0000,51.6307,13.1698,0.3158,29.1119,,0.0440
4,https://enabiz.gov.tr,200,True,,49.0131,44.0000,44.4138,9.3551,0.2257,27.6957,,0.0441
5,https://mhrs.gov.tr,200,True,,50.1872,46.0000,45.6272,6.6961,0.2233,28.4503,3.1175,0.0615
6,https://ziraatbank.com.tr,200,True,,54.9871,51.0000,50.5111,12.5739,0.2008,29.6078,,0.0424
7,https://garanti.com.tr,200,True,,52.1707,48.0000,47.5680,11.9457,0.1819,27.9824,,0.0491
8,https://trendyol.com,200,True,,53.2292,49.0000,48.6533,12.8760,0.3259,28.0911,,0.0412
9,https://kkktun.edu.tr,200,True,,94.2847,90.0000,89.7509,9.9165,48.0624,21.4529,2.5649,0.0605
10,https://ktun-login.com,200,True,,127.4352,122.0000,122.3356,10.3508,65.7096,34.2823,3.3252,0.0729
11,https://login-ziraat-bankasi-guvenli.com/login,200,True,,214.259,209.0000,208.5139,31.1064,127.1154,38.7619,3.1141,0.0580
12,https://garanti-guvenli.com/login,200,True,,216.6816,211.0000,211.3982,23.3592,108.7163,65.4312,5.5808,0.0789
13,https://turkiye-gov-tr.com/basvuru,200,True,,173.4039,168.0000,167.5735,17.0108,87.9471,49.8102,3.2926,0.0720
14,https://edevlet-basvuru.net/login,200,True,,152.3701,147.0000,147.3752,18.8798,83.2550,34.7383,2.9804,0.0670
15,https://enabiz-sonuc.com,200,True,,156.7786,151.0000,151.2634,14.4770,80.7423,43.4838,3.5738,0.0939
16,https://mhrs-randevu.org,200,True,,162.734,158.0000,157.6734,15.5088,81.6315,48.1166,3.5942,0.1124
17,https://ptt-kargo-takip.net,200,True,,144.2074,139.0000,139.0401,13.7095,81.3815,31.7250,4.2061,0.0934
18,https://trendyol-iade-formu.com,200,True,,162.6945,157.0000,157.1657,20.3320,90.8269,33.0240,3.3167,0.0800
19,https://vakifbank-dogrulama.com,200,True,,142.8856,138.0000,137.5081,20.7429,82.9667,23.1957,3.2983,0.0703
20,https://webtapu-randevu.com,200,True,,144.6891,140.0000,139.8224,21.3034,81.1971,25.4057,3.6512,0.0786
21,https://ktun.edu.tr,200,True,,63.8243,59.0000,58.7906,8.3729,0.1099,36.0235,3.8583,0.0735
22,https://obs.ktun.edu.tr,200,True,,63.3751,58.0000,57.9937,8.9464,0.1308,35.5892,4.1881,0.0871
23,https://turkiye.gov.tr,200,True,,63.4032,58.0000,58.1554,14.6574,0.2900,35.2350,,0.0684
24,https://enabiz.gov.tr,200,True,,60.0403,55.0000,54.8222,12.3586,0.3091,33.9500,,0.0657
25,https://mhrs.gov.tr,200,True,,58.4118,53.0000,53.1471,8.5872,0.2932,31.2707,3.6983,0.0722
26,https://ziraatbank.com.tr,200,True,,68.7108,63.0000,63.2245,14.8952,0.2269,40.0881,,0.0523
27,https://garanti.com.tr,200,True,,115.2254,94.0000,93.6346,15.6536,0.2546,68.9357,,0.0550
28,https://trendyol.com,200,True,,60.3244,55.0000,55.1371,16.5012,0.2776,30.4058,,0.0507
29,https://kkktun.edu.tr,200,True,,94.0326,88.0000,88.4655,7.6068,41.0197,27.3998,4.2821,0.0900
30,https://ktun-login.com,200,True,,148.6932,143.0000,143.2681,12.8931,75.9467,41.9215,3.3944,0.0739
31,https://login-ziraat-bankasi-guvenli.com/login,200,True,,198.1284,193.0000,192.8158,34.0836,114.4746,31.9868,3.4389,0.0686
32,https://garanti-guvenli.com/login,200,True,,153.9865,149.0000,149.0569,21.0052,87.0910,30.2719,3.1913,0.0707
33,https://turkiye-gov-tr.com/basvuru,200,True,,145.149,140.0000,140.2683,12.8137,84.4358,31.6000,3.5473,0.0760
34,https://edevlet-basvuru.net/login,200,True,,324.3189,298.0000,297.7933,22.5711,106.2383,151.8646,5.7428,0.0935
35,https://enabiz-sonuc.com,200,True,,270.7614,264.0000,263.9676,19.0409,106.8522,121.9355,6.7529,0.1197
36,https://mhrs-randevu.org,200,True,,224.7583,218.0000,218.3834,18.3869,106.4003,77.5923,5.9069,0.1255
37,https://ptt-kargo-takip.net,200,True,,210.0752,204.0000,204.0816,16.9494,96.7683,74.5639,4.0008,0.0868
38,https://trendyol-iade-formu.com,200,True,,207.7551,202.0000,201.8966,22.5299,108.7188,55.5853,4.3420,0.0813
39,https://vakifbank-dogrulama.com,200,True,,236.4583,229.0000,228.9424,25.0676,107.4352,83.2420,3.7548,0.0892
40,https://webtapu-randevu.com,200,True,,205.9403,200.0000,199.8285,23.5164,100.9916,63.0763,4.0848,0.1044
41,https://ktun.edu.tr,200,True,,97.0822,91.0000,91.2974,9.1186,0.1563,69.3040,3.5183,0.0773
42,https://obs.ktun.edu.tr,200,True,,139.7029,130.0000,129.5043,8.5289,0.1305,103.4604,9.5959,0.0770
43,https://turkiye.gov.tr,200,True,,103.3876,97.0000,97.4991,14.1846,0.2921,75.1134,,0.0545
44,https://enabiz.gov.tr,200,True,,100.6173,95.0000,94.7130,13.3115,0.3264,72.0150,,0.0661
45,https://mhrs.gov.tr,200,True,,69.7515,64.0000,63.5429,9.7231,0.3596,39.6984,4.3273,0.0916
46,https://ziraatbank.com.tr,200,True,,76.5623,71.0000,71.0491,15.5307,0.2569,46.4053,,0.0541
47,https://garanti.com.tr,200,True,,70.199,65.0000,64.6070,15.0663,0.2382,40.9880,,0.0490
48,https://trendyol.com,200,True,,60.2918,55.0000,55.0561,14.4566,0.3552,31.4854,,0.0444
49,https://kkktun.edu.tr,200,True,,88.8816,84.0000,83.6933,10.0443,40.5711,22.3428,3.0872,0.0960
50,https://ktun-login.com,200,True,,183.8742,166.0000,165.9705,13.0782,86.1712,54.5889,3.8406,0.0790
51,https://login-ziraat-bankasi-guvenli.com/login,200,True,,238.4376,233.0000,233.0206,34.1500,156.5821,29.9097,3.5105,0.0617
52,https://garanti-guvenli.com/login,200,True,,221.2328,215.0000,215.2170,21.0268,106.5973,72.4420,4.6288,0.0872
53,https://turkiye-gov-tr.com/basvuru,200,True,,216.7243,211.0000,210.5075,19.6689,108.1616,68.9402,4.2242,0.0932
54,https://edevlet-basvuru.net/login,200,True,,206.856,201.0000,200.9905,24.9531,114.8751,48.9608,4.0751,0.0720
55,https://enabiz-sonuc.com,200,True,,154.5855,149.0000,148.9408,16.0067,82.5037,39.3745,3.3760,0.0912
56,https://mhrs-randevu.org,200,True,,168.6577,163.0000,162.7984,15.4204,85.2259,49.9987,4.3370,0.1026
57,https://ptt-kargo-takip.net,200,True,,160.8604,155.0000,155.1889,16.8299,91.0591,35.6517,3.5068,0.1064
58,https://trendyol-iade-formu.com,200,True,,176.0004,170.0000,170.4684,20.6266,93.8209,43.9631,3.3346,0.0731
59,https://vakifbank-dogrulama.com,200,True,,175.43,170.0000,170.2180,22.7255,94.3535,41.7217,3.2688,0.0952
60,https://webtapu-randevu.com,200,True,,146.4318,141.0000,141.1763,21.1258,78.6266,30.6393,3.1685,0.0770
